comparison,metric,mean,ci95,lower95,upper95,better_seeds,n,split
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,morphology_shift_detection,0.03483511583459252,0.0074108230657454035,0.027424292768847117,0.042245938900337926,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,failure_family_f1,0.06421496687468908,0.15095230135695373,-0.08673733448226464,0.2151672682316428,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,task_success,0.06770833333333334,0.0985970804876733,-0.03088874715433995,0.16630541382100664,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,dominant_failure_rate,-0.0125,0.0758323361757802,-0.0883323361757802,0.0633323361757802,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,safety_violation_rate,-0.006944444444444445,0.06978783003397138,-0.07673227447841582,0.06284338558952693,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,intervention_cost,-0.0018454647999999996,0.007542311142281274,-0.009387775942281273,0.005696846342281275,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,unnecessary_intervention_rate,-0.0006944444444444444,0.0016976038143696585,-0.002392048258814103,0.0010031593699252142,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,planning_regret_to_oracle,-0.025847234297920418,0.018351393231534514,-0.04419862752945493,-0.007495841066385903,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,robust_utility,0.10987242742680636,0.14533657008946485,-0.03546414266265849,0.25520899751627124,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_risk_aware_intervention_policy,dominant_failure_accuracy,0.06076388888888888,0.11788113704063573,-0.05711724815174685,0.1786450259295246,5,10,actuator_degradation_shift
